WORKORDERID,ACTUALSTARTDATE,ACTUALFINISHDATE,UNITSACCOMP,WOXCOORDINATE,WOYCOORDINATE
710321,3/6/2020  12:00:00 AM,3/6/2020  12:00:00 AM,5,435248.83,10662749.33
710324,3/17/2020  12:00:00 PM,3/17/2020  12:00:00 PM,9,423231.45,10637690
710327,3/6/2020  12:00:00 AM,3/6/2020  12:00:00 AM,4,435925.84,10662580.39
710329,3/6/2020  12:00:00 AM,3/6/2020  12:00:00 AM,2,436550.84,10662546
710332,3/17/2020  12:00:00 PM,3/17/2020  12:00:00 PM,15,423231.45,10637690
710333,3/6/2020  12:00:00 AM,3/6/2020  12:00:00 AM,1,438246.92,10662346
710338,3/17/2020  1:45:21 PM,3/17/2020  2:45:37 PM,10,442820.12,10654672.5
710342,2/3/2020  12:00:00 PM,2/3/2020  12:00:00 PM,1,416033.81,10709493
710343,3/6/2020  12:00:00 AM,3/6/2020  12:00:00 AM,1,437646.42,10662510.17
710345,3/6/2020  12:00:00 AM,3/6/2020  12:00:00 AM,2,440675.23,10648471.25
710355,2/28/2020  12:00:00 PM,2/28/2020  12:00:00 PM,9,414940.8,10707142.5
710357,3/17/2020  8:20:09 AM,3/17/2020  9:49:20 AM,3,409247.59,10656909
710361,3/17/2020  8:30:48 AM,3/17/2020  9:30:55 AM,2,460175.11,10671619.8
710362,3/17/2020  10:20:08 AM,3/17/2020  11:15:17 AM,2,409247.59,10656909
710364,3/17/2020  1:20:05 PM,3/17/2020  2:25:16 PM,1,403473.28,10659555.5
710365,3/17/2020  10:15:13 AM,3/17/2020  10:45:25 AM,1,464886.97,10667766.35
710367,3/17/2020  10:45:06 AM,3/17/2020  11:30:14 AM,2,465556.54,10667729.94
710368,3/17/2020  2:40:46 PM,3/17/2020  3:28:56 PM,3,409247.59,10656909
710494,3/9/2020  12:00:00 AM,3/9/2020  12:00:00 AM,7,431490.3,10651249.67
710498,3/9/2020  12:00:00 AM,3/9/2020  12:00:00 AM,1,434323.08,10648660.5
710500,3/9/2020  12:00:00 AM,3/9/2020  12:00:00 AM,7,443574.49,10640005.99
710501,3/9/2020  12:00:00 AM,3/9/2020  12:00:00 AM,22,448744.91,10632548.57
710505,3/18/2020  8:30:59 AM,3/18/2020  9:45:12 AM,10,439534.22,10663857
710509,3/9/2020  12:00:00 AM,3/9/2020  12:00:00 AM,15,449340.81,10632352.5
710511,3/9/2020  12:00:00 AM,3/9/2020  12:00:00 AM,57,449877.65,10632231.1
710515,3/9/2020  12:00:00 AM,3/9/2020  12:00:00 AM,4,451212.91,10630777
710519,3/9/2020  12:00:00 AM,3/9/2020  12:00:00 AM,22,450911.7,10631304.29
710523,3/9/2020  12:00:00 AM,3/9/2020  12:00:00 AM,10,451212.91,10630777
710524,3/9/2020  2:40:00 PM,3/9/2020  3:00:00 PM,27,448301.6,10632914.01
710528,3/9/2020  12:00:00 AM,3/9/2020  12:00:00 AM,7,450520.46,10633202.88
710532,3/9/2020  12:00:00 AM,3/9/2020  12:00:00 AM,34,450213.87,10634332
710546,2/21/2020  12:00:00 AM,2/21/2020  12:00:00 AM,3,439140.87,10643017.62
710548,2/21/2020  12:00:00 AM,2/21/2020  12:00:00 AM,7,439457.24,10643621.62
710549,2/21/2020  12:00:00 AM,2/21/2020  12:00:00 AM,8,439801.14,10642631.5
710552,2/29/2020  12:00:00 PM,2/29/2020  12:00:00 PM,12,408758.42,10690770
710553,3/18/2020  10:35:31 AM,3/18/2020  11:45:16 AM,14,446085.27,10666581
710562,2/21/2020  12:00:00 AM,2/21/2020  12:00:00 AM,3,439343.12,10645759.66
710564,2/21/2020  12:00:00 AM,2/21/2020  12:00:00 AM,3,440490.17,10646994
710565,2/28/2020  12:00:00 PM,2/28/2020  12:00:00 PM,1,424914.19,10725744.88
710566,2/21/2020  12:00:00 AM,2/21/2020  12:00:00 AM,9,440968.9,10647329.5
710567,2/21/2020  12:00:00 AM,2/21/2020  12:00:00 AM,16,441493.65,10647230.83
